line,series,status,checked,source
jr-west.honshi-bisan,jr-shikoku-5000,active,,draft
jr-shikoku.yosan,jr-shikoku-8000,active,,draft
jr-shikoku.yosan,jr-shikoku-8600,active,,draft
jr-shikoku.yosan,jr-shikoku-7000,active,,draft
jr-shikoku.yosan,jr-shikoku-7200,active,,draft
jr-shikoku.yosan,jr-shikoku-5000,active,,draft
jr-central.tokaido,313,active,,draft
jr-central.tokaido,315,active,,draft
jr-central.tokaido,211,retiring,,draft
jr-central.tokaido,311,retiring,,draft
jr-central.tokaido,117,retired,,draft
jr-central.chuo,313,active,,draft
jr-central.chuo,315,active,,draft
jr-central.chuo,211,retiring,,draft
jr-central.takayama,kiha-25,active,,draft
jr-west.takayama,kiha-120,active,,draft
jr-central.minobu,313,active,,draft
jr-central.iida,313,active,,draft
jr-central.iida,213,active,,draft
jr-central.kansai,313,active,,draft
jr-central.kansai,315,active,,draft
jr-central.kansai,kiha-25,active,,draft
jr-central.kisei,kiha-25,active,,draft
jr-kyushu.kagoshima,813,active,,draft
jr-kyushu.kagoshima,811,active,,draft
jr-kyushu.kagoshima,817,active,,draft
jr-kyushu.kagoshima,821,active,,draft
jr-kyushu.kagoshima,415,retiring,,draft
jr-kyushu.nippo,813,active,,draft
jr-kyushu.nippo,815,active,,draft
jr-kyushu.nippo,817,active,,draft
jr-kyushu.nippo,415,retiring,,draft
jr-kyushu.nagasaki,817,active,,draft
jr-kyushu.nagasaki,yc1,active,,draft
jr-kyushu.nagasaki,kiha-40,retiring,,draft
jr-kyushu.sasebo,yc1,active,,draft
jr-kyushu.sasebo,817,active,,draft
jr-kyushu.sasebo,kiha-40,retiring,,draft
jr-kyushu.omura,yc1,active,,draft
jr-kyushu.omura,kiha-40,retiring,,draft
jr-hokkaido.hakodate,733,active,,draft
jr-hokkaido.hakodate,721,active,,draft
jr-hokkaido.hakodate,737,active,,draft
jr-hokkaido.hakodate,h100,active,,draft
jr-hokkaido.hakodate,kiha-40,retiring,,draft
jr-hokkaido.muroran,737,active,,draft
jr-hokkaido.muroran,733,active,,draft
jr-hokkaido.muroran,h100,active,,draft
jr-hokkaido.muroran,kiha-40,retiring,,draft
jr-hokkaido.chitose,733,active,,draft
jr-hokkaido.chitose,721,active,,draft
jr-hokkaido.sekisho,h100,active,,draft
jr-hokkaido.sekisho,kiha-40,retiring,,draft
jr-hokkaido.nemuro,h100,active,,draft
jr-hokkaido.nemuro,kiha-40,retiring,,draft
