id,kind,ja,reading,en,operator,lines,stations,series,status,since,until,species,unit,wikipedia_ja,wikidata,official,note_en,note_ja
asa.akisougoubyouinmae,station-character,あき ナースちゃん,,,tosa-kuroshio-tetsudo,asa,あき総合病院前,,active,,,,,土佐くろしお鉄道ごめん・なはり線,,,"{station} station's character, drawn by Yanase Takashi, the creator of Anpanman.",あき総合病院前駅のキャラクター。アンパンマンの作者やなせたかしのデザイン。モチーフは看護師。
asa.aki,station-character,あき うたこちゃん,,,tosa-kuroshio-tetsudo,asa,安芸,,active,,,,,土佐くろしお鉄道ごめん・なはり線,,,"{station} station's character, drawn by Yanase Takashi, the creator of Anpanman.",安芸駅のキャラクター。アンパンマンの作者やなせたかしのデザイン。モチーフは弘田龍太郎。
asa.ioki,station-character,いおき トラオ君,,,tosa-kuroshio-tetsudo,asa,伊尾木,,active,,,,,土佐くろしお鉄道ごめん・なはり線,,,"{station} station's character, drawn by Yanase Takashi, the creator of Anpanman.",伊尾木駅のキャラクター。アンパンマンの作者やなせたかしのデザイン。モチーフは車寅次郎。
asa.gezan,station-character,しもやま ちどりちゃん,,,tosa-kuroshio-tetsudo,asa,下山,,active,,,,,土佐くろしお鉄道ごめん・なはり線,,,"{station} station's character, drawn by Yanase Takashi, the creator of Anpanman.",下山駅のキャラクター。アンパンマンの作者やなせたかしのデザイン。モチーフは「浜千鳥」の曲碑。
asa.touhama,station-character,とうのはま へんろ君,,,tosa-kuroshio-tetsudo,asa,唐浜,,active,,,,,土佐くろしお鉄道ごめん・なはり線,,,"{station} station's character, drawn by Yanase Takashi, the creator of Anpanman.",唐浜駅のキャラクター。アンパンマンの作者やなせたかしのデザイン。モチーフはお遍路さん。
asa.yasuda,station-character,やすだ アユ君,,,tosa-kuroshio-tetsudo,asa,安田,,active,,,,,土佐くろしお鉄道ごめん・なはり線,,,"{station} station's character, drawn by Yanase Takashi, the creator of Anpanman.",安田駅のキャラクター。アンパンマンの作者やなせたかしのデザイン。モチーフはアユ。
asa.tano,station-character,田野 いしん君,,,tosa-kuroshio-tetsudo,asa,田野,,active,,,,,土佐くろしお鉄道ごめん・なはり線,,,"{station} station's character, drawn by Yanase Takashi, the creator of Anpanman.",田野駅のキャラクター。アンパンマンの作者やなせたかしのデザイン。モチーフは野根山二十三士。
asa.nahari,station-character,なは りこちゃん,,,tosa-kuroshio-tetsudo,asa,奈半利,,active,,,,,土佐くろしお鉄道ごめん・なはり線,,,"{station} station's character, drawn by Yanase Takashi, the creator of Anpanman.",奈半利駅のキャラクター。アンパンマンの作者やなせたかしのデザイン。モチーフは駅員。
animal.jr-hokkaido.rara,animal,ララ,,Lala,jr-hokkaido,,新十津川,,retired,2017,2020,dog,,動物駅長,,,Met every train at Shin-Totsukawa until the station closed.,新十津川駅の廃止まで、到着列車を出迎えた。
animal.jr-hokkaido.haadi,animal,ハーディ,,Hardy,jr-hokkaido,,ニセコ,,active,2018,,dog,,動物駅長,,,Lives in the station café; JR Hokkaido gave him a stationmaster's cap.,駅舎内の喫茶店の犬。JR北海道から駅長帽を贈られた。
animal.jr-east.wasao,animal,わさお,,Wasao,jr-east,,鰺ケ沢,,in-memoriam,2011,2020,dog,,わさお,Q96176417,,"The famous fluffy Akita, JR East's tourism stationmaster at Ajigasawa.",ぶさかわいい秋田犬。鰺ケ沢駅の観光駅長。
animal.jr-east.yo,animal,誉,,Homare,jr-east,,大館,,active,2021,,dog,,動物駅長,,,Ōdate's third Akita-dog tourism stationmaster.,大館駅の3代目秋田犬観光駅長。
animal.aijiiaaru-iwate-gingatetsudo.makku,animal,マック,,Mac,aijiiaaru-iwate-gingatetsudo,,奥中山高原,,in-memoriam,2013,2017,dog,,動物駅長,,,"Trainee stationmaster, found by the owner of Maron, the station's first dog.",初代の犬駅長マロンの飼い主が見つけた駅長見習い。
animal.jr-east.shokora,animal,しょこら,,Chocola,jr-east,,羽前小松,,active,2019,,cat,,動物駅長,,,A stray who became Uzen-Komatsu's stationmaster.,迷い猫から羽前小松駅の駅長に。
animal.yamagata-tetsudo.motchii,animal,もっちぃ,,Mocchī,yamagata-tetsudo,,宮内,,in-memoriam,2010,2023,rabbit,,動物駅長,,,"Rabbit stationmaster, after the local three-rabbit legend and Shirousagi station.",地元の三羽のウサギ伝説と白兎駅にちなむウサギの駅長。
animal.aizu-railway.basu,animal,ばす,,Basu,aizu-railway,,芦ノ牧温泉,,in-memoriam,2008,2015,cat,,動物駅長,,,Honorary stationmaster of Ashinomaki-Onsen.,芦ノ牧温泉駅の名誉駅長。
animal.aizu-railway.rabu,animal,らぶ,,Love,aizu-railway,,芦ノ牧温泉,,in-memoriam,2015,2022,cat,,動物駅長,,,Took over from Basu as honorary stationmaster.,ばすから名誉駅長を引き継いだ。
animal.aizu-railway.sakura,animal,さくら,,Sakura,aizu-railway,,芦ノ牧温泉,,active,2021,,cat,,動物駅長,,,"Love's little sister, the station's attendant.",らぶの妹。アテンダント。
animal.jr-east.goro,animal,ゴロ,,Goro,jr-east,,白石蔵王,,active,2019,,fox,,動物駅長,,,Fox tourism stationmaster for Miyagi Zaō Fox Village.,宮城蔵王キツネ村のキツネの観光駅長。
animal.sanriku-tetsudo.ibonnu,animal,イボンヌ,,Yvonne,sanriku-tetsudo,,宮古,,active,2021,,goat,,動物駅長,,,Goat stationmaster from the farm whose milk goes into Sanriku's sweets train.,スイーツ列車のヤギミルクの牧場から来たヤギの駅長。
animal.hitachinaka-kaihin-tetsudo.osamu,animal,おさむ,,Osamu,hitachinaka-kaihin-tetsudo,,那珂湊,,in-memoriam,2009,2019,cat,,動物駅長,,,A stray who became Nakaminato's much-loved station cat.,野良猫から人気の駅猫に。
animal.hitachinaka-kaihin-tetsudo.minisamu,animal,ミニさむ,,Minisamu,hitachinaka-kaihin-tetsudo,,那珂湊,,active,2010,,cat,,動物駅長,,,"Nakaminato's station cat, like Osamu before her.",おさむに続く那珂湊駅の駅猫。
animal.saitama-railway.rabitama,animal,ラビたま,,Rabitama,saitama-railway,,浦和美園,,retired,2015,2021,rabbit,,動物駅長,,,Saitama Railway's first stationmaster of any kind: it had none before.,駅長制度のなかった埼玉高速鉄道の初の駅長。
animal.shinano-tetsudo.rooru,animal,ロール,,Roll,shinano-tetsudo,,牟礼,,retired,2016,2020,goat,,動物駅長,,,Goat stationmaster who kept the station grass down.,構内の草を食べるヤギの駅長。
animal.kintetsu.shimachan,animal,志摩ちゃん,,Shima-chan,kintetsu,,賢島,,retired,2009,2012,penguin,,動物駅長,,,Humboldt penguin stationmaster from Shima Marineland.,志摩マリンランドのフンボルトペンギンの駅長。
animal.nagaragawa-tetsudo.yukinojou,animal,雪之丞,,Yukinojō,nagaragawa-tetsudo,,美濃太田,,in-memoriam,2014,2021,dog,,動物駅長,,,Raised a paw to see off the sightseeing train.,前足を上げて観光列車の出発を合図した。
animal.aichi-kosoku-kotsu.koa,animal,コア,,Core,aichi-kosoku-kotsu,,,,active,2017,,dog,,動物駅長,,,"Linimo's stationmaster, also PR dog for the Japan Service Dog Association.",リニモ駅長。日本介助犬協会のPR犬と兼任。
animal.wakayama-dentetsu.tama,animal,たま,,Tama,wakayama-dentetsu,,貴志,,in-memoriam,2007,2015,cat,,たま (猫の駅長),Q1201902,,The super stationmaster who saved the Kishigawa Line; now its honorary eternal stationmaster.,貴志川線を救ったスーパー駅長。死後は名誉永久駅長。
animal.wakayama-dentetsu.nitama,animal,ニタマ,,Nitama,wakayama-dentetsu,,貴志,,in-memoriam,2012,2025,cat,,動物駅長,Q53216650,,"Tama II: stationmaster at Idakiso, then Kishi after Tama.",たまⅡ世駅長。伊太祈曽駅、たまの死後は貴志駅の駅長。
animal.wakayama-dentetsu.yontama,animal,よんたま,,Yontama,wakayama-dentetsu,,伊太祈曽,,active,2017,,cat,,動物駅長,,,"Stationmaster at Idakiso, standing in at Kishi.",伊太祈曽駅長、貴志駅長代行。
animal.jr-west.ryouma,animal,りょうま,,Ryōma,jr-west,,志和口,,in-memoriam,2010,2019,cat,,動物駅長,,,Shiwaguchi's cat stationmaster; the village made him a memorial hall.,志和口駅のネコ駅長。駅前に記念館がある。
animal.jr-shikoku.rise,animal,リセ,,Lise,jr-shikoku,,伊予上灘,,active,,,dog,,動物駅長,,,"Dog stationmaster who greets the Iyonada Monogatari, with two cats.",伊予灘ものがたりを出迎える犬駅長。2匹の猫と。
animal.asa-kaigan-tetsudo.iseebiekichou,animal,イセエビ駅長,,Spiny lobster stationmasters,asa-kaigan-tetsudo,,宍喰,,active,2010,,spiny lobster,,動物駅長,,,"Spiny lobsters in a tank marked 駅長室, shedding red shells to ""shed the red ink"".",「駅長室」の水槽のイセエビ。赤い殻を脱ぐ姿に「赤字脱却」の願い。
animal.jr-kyushu.kyuutarou,animal,九太郎,,Kutarō,jr-kyushu,,海ノ中道,,active,2010,,goat,,動物駅長,,,Tokara goat stationmaster; his letter of appointment was edible bread.,トカラヤギの駅長。任命書は食べられるパン。
animal.jr-kyushu.nyaa,animal,ニャー,,Nyā,jr-kyushu,,豊後竹田,,in-memoriam,2018,2021,cat,,動物駅長,,,Bungo-Taketa's cat stationmaster.,豊後竹田駅のネコ駅長。
animal.jr-kyushu.nyantarou,animal,にゃん太郎,,Nyantarō,jr-kyushu,,嘉例川,,in-memoriam,2016,2020,cat,,動物駅長,,,Kareigawa's tourism ambassador cat.,嘉例川駅の観光大使の猫。
animal.jr-kyushu.sanchan,animal,さんちゃん,,San-chan,jr-kyushu,,嘉例川,,active,2022,,cat,,動物駅長,,,Kareigawa's second tourism ambassador cat.,嘉例川駅の2代目観光大使の猫。
animal.jr-kyushu.kotarou,animal,小太郎,,Kotarō,jr-kyushu,,指宿,,active,2011,,tortoise,,動物駅長,,,Sulcata tortoise who sometimes sees off the Ibusuki no Tamatebako.,指宿のたまて箱を見送るケヅメリクガメ。
animal.shimabara-tetsudo.satchan,animal,さっちゃん,,Sacchan,shimabara-tetsudo,,島原,,active,2016,,carp,,動物駅長,,,"Carp special stationmaster, in a tank with goldfish assistants.",金魚の助役と水槽で暮らすコイの特別駅長。
shinkalion.shinkarion-e5hayabusa,shinkalion,シンカリオン E5はやぶさ,,Shinkalion E5 Hayabusa,,,,e5,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion, based on this train.",アニメ『シンカリオン』の、この車両から変形するロボット。
shinkalion.shinkarion-e6komachi,shinkalion,シンカリオン E6こまち,,Shinkalion E6 Komachi,,,,e6,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion, based on this train.",アニメ『シンカリオン』の、この車両から変形するロボット。
shinkalion.shinkarion-e7kagayaki,shinkalion,シンカリオン E7かがやき,,Shinkalion E7 Kagayaki,,,,e7,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion, based on this train.",アニメ『シンカリオン』の、この車両から変形するロボット。
shinkalion.shinkarion-e3tsubasa,shinkalion,シンカリオン E3つばさ,,Shinkalion E3 Tsubasa,,,,e3,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion, based on this train.",アニメ『シンカリオン』の、この車両から変形するロボット。
shinkalion.shinkarion-e3tsubasa-aian-uingu,shinkalion,シンカリオン E3つばさ アイアンウイング,,Shinkalion E3 Tsubasa Iron Wing,,,,e3,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion, based on this train.",アニメ『シンカリオン』の、この車両から変形するロボット。
shinkalion.shinkarion-n700anozomi,shinkalion,シンカリオン N700Aのぞみ,,Shinkalion N700A Nozomi,,,,n700,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion, based on this train.",アニメ『シンカリオン』の、この車両から変形するロボット。
shinkalion.shinkarion-h5hayabusa,shinkalion,シンカリオン H5はやぶさ,,Shinkalion H5 Hayabusa,,,,h5,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion, based on this train.",アニメ『シンカリオン』の、この車両から変形するロボット。
shinkalion.shinkarion-800tsubame,shinkalion,シンカリオン 800つばめ,,Shinkalion 800 Tsubame,,,,800,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion, based on this train.",アニメ『シンカリオン』の、この車両から変形するロボット。
shinkalion.shinkarion-923dokutaaieroo,shinkalion,シンカリオン 923ドクターイエロー,,Shinkalion 923 Doctor Yellow,,,,923,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion, based on this train.",アニメ『シンカリオン』の、この車両から変形するロボット。
shinkalion.shinkarion-alfa-x,shinkalion,シンカリオン ALFA-X,,Shinkalion ALFA-X,,,,e956,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion, based on this train.",アニメ『シンカリオン』の、この車両から変形するロボット。
shinkalion.shinkarion-700nozomi,shinkalion,シンカリオン 700のぞみ,,Shinkalion 700 Nozomi,,,,700,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion, based on this train.",アニメ『シンカリオン』の、この車両から変形するロボット。
shinkalion.shinkarion-700hikarireerusutaa,shinkalion,シンカリオン 700ひかりレールスター,,Shinkalion 700 Hikari Rail Star,,,,700,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion, based on this train.",アニメ『シンカリオン』の、この車両から変形するロボット。
shinkalion.shinkarion-n700mizuho,shinkalion,シンカリオン N700みずほ,,Shinkalion N700 Mizuho,,,,n700,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion, based on this train.",アニメ『シンカリオン』の、この車両から変形するロボット。
shinkalion.shinkarion-500kodama,shinkalion,シンカリオン 500こだま,,Shinkalion 500 Kodama,,,,500,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion, based on this train.",アニメ『シンカリオン』の、この車両から変形するロボット。
shinkalion.shinkarion-dokutaaieroo,shinkalion,シンカリオン ドクターイエロー,,Shinkalion Doctor Yellow,,,,923,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion, based on this train.",アニメ『シンカリオン』の、この車両から変形するロボット。
shinkalion.shinkarion-500-type-eva,shinkalion,シンカリオン 500 TYPE EVA,,Shinkalion 500 TYPE EVA,,,,500,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion, based on this train.",アニメ『シンカリオン』の、この車両から変形するロボット。
shinkalion.shinkarion-harookitei,shinkalion,シンカリオン ハローキティ,,Shinkalion Hello Kitty,,,,500,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion, based on this train.",アニメ『シンカリオン』の、この車両から変形するロボット。
shinkalion.shinkarion-e5hayabusa-mkii,shinkalion,シンカリオン E5はやぶさ MkII,,Shinkalion E5 Hayabusa MkII,,,,e5,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion, based on this train.",アニメ『シンカリオン』の、この車両から変形するロボット。
shinkalion.shinkarion-n700snozomi,shinkalion,シンカリオン N700Sのぞみ,,Shinkalion N700S Nozomi,,,,n700s,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion, based on this train.",アニメ『シンカリオン』の、この車両から変形するロボット。
shinkalion.shinkarionz-e5hayabusa,shinkalion,シンカリオンZ E5はやぶさ,,Shinkalion Z E5 Hayabusa,,,,e5,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion Z, based on this train.",アニメ『シンカリオンZ』の、この車両から変形するロボット。
shinkalion.shinkarionz-e6komachi,shinkalion,シンカリオンZ E6こまち,,Shinkalion Z E6 Komachi,,,,e6,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion Z, based on this train.",アニメ『シンカリオンZ』の、この車両から変形するロボット。
shinkalion.shinkarionz-e7kagayaki,shinkalion,シンカリオンZ E7かがやき,,Shinkalion Z E7 Kagayaki,,,,e7,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion Z, based on this train.",アニメ『シンカリオンZ』の、この車両から変形するロボット。
shinkalion.shinkarionz-800tsubame,shinkalion,シンカリオンZ 800つばめ,,Shinkalion Z 800 Tsubame,,,,800,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion Z, based on this train.",アニメ『シンカリオンZ』の、この車両から変形するロボット。
shinkalion.shinkarionz-n700snozomi,shinkalion,シンカリオンZ N700Sのぞみ,,Shinkalion Z N700S Nozomi,,,,n700s,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion Z, based on this train.",アニメ『シンカリオンZ』の、この車両から変形するロボット。
shinkalion.shinkarionz-500kodama,shinkalion,シンカリオンZ 500こだま,,Shinkalion Z 500 Kodama,,,,500,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion Z, based on this train.",アニメ『シンカリオンZ』の、この車両から変形するロボット。
shinkalion.shinkarionz-500-type-eva,shinkalion,シンカリオンZ 500 TYPE EVA,,Shinkalion Z 500 TYPE EVA,,,,500,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion Z, based on this train.",アニメ『シンカリオンZ』の、この車両から変形するロボット。
shinkalion.shinkarionz-h5hayabusa,shinkalion,シンカリオンZ H5はやぶさ,,Shinkalion Z H5 Hayabusa,,,,h5,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion Z, based on this train.",アニメ『シンカリオンZ』の、この車両から変形するロボット。
shinkalion.shinkarionz-n700skamome,shinkalion,シンカリオンZ N700Sかもめ,,Shinkalion Z N700S Kamome,,,,n700s,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion Z, based on this train.",アニメ『シンカリオンZ』の、この車両から変形するロボット。
shinkalion.shinkarionz-500-type-eva-02,shinkalion,シンカリオンZ 500 TYPE EVA-02,,Shinkalion Z 500 TYPE EVA-02,,,,500,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion Z, based on this train.",アニメ『シンカリオンZ』の、この車両から変形するロボット。
shinkalion.shinkarionz-dokutaaieroo,shinkalion,シンカリオンZ ドクターイエロー,,Shinkalion Z Doctor Yellow,,,,923,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion Z, based on this train.",アニメ『シンカリオンZ』の、この車両から変形するロボット。
shinkalion.shinkarionz-arufaekkusu,shinkalion,シンカリオンZ アルファエックス,,Shinkalion Z ALFA-X,,,,e956,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion Z, based on this train.",アニメ『シンカリオンZ』の、この車両から変形するロボット。
shinkalion.zairainaa-e235yamanote,shinkalion,ザイライナー E235ヤマノテ,,Zairiner E235 Yamanote,,,,e235,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,Zairiner: a conventional-line train that becomes armour for Shinkalion Z.,シンカリオンZと合体する在来線の特殊武装車両。
shinkalion.zairainaa-e259nekkusu,shinkalion,ザイライナー E259ネックス,,Zairiner E259 N'EX,,,,e259,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,Zairiner: a conventional-line train that becomes armour for Shinkalion Z.,シンカリオンZと合体する在来線の特殊武装車両。
shinkalion.zairainaa-e353azusa,shinkalion,ザイライナー E353アズサ,,Zairiner E353 Azusa,,,,e353,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,Zairiner: a conventional-line train that becomes armour for Shinkalion Z.,シンカリオンZと合体する在来線の特殊武装車両。
shinkalion.zairainaa-883sonikku,shinkalion,ザイライナー 883ソニック,,Zairiner 883 Sonic,,,,883,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,Zairiner: a conventional-line train that becomes armour for Shinkalion Z.,シンカリオンZと合体する在来線の特殊武装車両。
shinkalion.zairainaa-hc85hida,shinkalion,ザイライナー HC85ヒダ,,Zairiner HC85 Hida,,,,hc85,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,Zairiner: a conventional-line train that becomes armour for Shinkalion Z.,シンカリオンZと合体する在来線の特殊武装車両。
shinkalion.zairainaa-323oosakakanjou,shinkalion,ザイライナー 323オオサカカンジョウ,,Zairiner 323 Ōsaka Kanjō,,,,323,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,Zairiner: a conventional-line train that becomes armour for Shinkalion Z.,シンカリオンZと合体する在来線の特殊武装車両。
shinkalion.zairainaa-261hokuto,shinkalion,ザイライナー 261ホクト,,Zairiner 261 Hokuto,,,,261,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,Zairiner: a conventional-line train that becomes armour for Shinkalion Z.,シンカリオンZと合体する在来線の特殊武装車両。
shinkalion.zairainaa-883sonikkunichirin,shinkalion,ザイライナー 883ソニックニチリン,,Zairiner 883 Sonic Nichirin,,,,883,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,Zairiner: a conventional-line train that becomes armour for Shinkalion Z.,シンカリオンZと合体する在来線の特殊武装車両。
shinkalion.shinkarioncw-e5hayabusa,shinkalion,シンカリオンCW E5はやぶさ,,Shinkalion CW E5 Hayabusa,,,,e5,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion CW, based on this train.",アニメ『シンカリオンCW』の、この車両から変形するロボット。
shinkalion.shinkarioncw-e6komachi,shinkalion,シンカリオンCW E6こまち,,Shinkalion CW E6 Komachi,,,,e6,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion CW, based on this train.",アニメ『シンカリオンCW』の、この車両から変形するロボット。
shinkalion.shinkarioncw-e7kagayaki,shinkalion,シンカリオンCW E7かがやき,,Shinkalion CW E7 Kagayaki,,,,e7,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion CW, based on this train.",アニメ『シンカリオンCW』の、この車両から変形するロボット。
shinkalion.shinkarioncw-n700snozomi,shinkalion,シンカリオンCW N700Sのぞみ,,Shinkalion CW N700S Nozomi,,,,n700s,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion CW, based on this train.",アニメ『シンカリオンCW』の、この車両から変形するロボット。
shinkalion.shinkarioncw-h5hayabusa,shinkalion,シンカリオンCW H5はやぶさ,,Shinkalion CW H5 Hayabusa,,,,h5,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion CW, based on this train.",アニメ『シンカリオンCW』の、この車両から変形するロボット。
shinkalion.shinkarioncw-e8tsubasa,shinkalion,シンカリオンCW E8つばさ,,Shinkalion CW E8 Tsubasa,,,,e8,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion CW, based on this train.",アニメ『シンカリオンCW』の、この車両から変形するロボット。
shinkalion.shinkarioncw-n700skamome,shinkalion,シンカリオンCW N700Sかもめ,,Shinkalion CW N700S Kamome,,,,n700s,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion CW, based on this train.",アニメ『シンカリオンCW』の、この車両から変形するロボット。
shinkalion.shinkarioncw-500kodama,shinkalion,シンカリオンCW 500こだま,,Shinkalion CW 500 Kodama,,,,500,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion CW, based on this train.",アニメ『シンカリオンCW』の、この車両から変形するロボット。
shinkalion.shinkarioncw-shinkarion0,shinkalion,シンカリオンCW シンカリオン0,,Shinkalion CW Shinkalion 0,,,,0,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion CW, based on this train.",アニメ『シンカリオンCW』の、この車両から変形するロボット。
shinkalion.shinkarioncw-shinkarion300,shinkalion,シンカリオンCW シンカリオン300,,Shinkalion CW Shinkalion 300,,,,300,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion CW, based on this train.",アニメ『シンカリオンCW』の、この車両から変形するロボット。
shinkalion.shinkarioncw-e4maxtoki,shinkalion,シンカリオンCW E4Maxとき,,Shinkalion CW E4Max Toki,,,,e4,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion CW, based on this train.",アニメ『シンカリオンCW』の、この車両から変形するロボット。
shinkalion.shinkarioncw-dokutaaieroo,shinkalion,シンカリオンCW ドクターイエロー,,Shinkalion CW Doctor Yellow,,,,923,active,,,,,新幹線変形ロボ シンカリオン,,https://www.shinkalion.com/,"Transforming robot from the anime Shinkalion CW, based on this train.",アニメ『シンカリオンCW』の、この車両から変形するロボット。
